Country,Year,Gender_Female,Gender_Male,Gender_Total,Age_Under18,Age_Over18,Age_Total,VALUE
Angola,2003-01-01,0,0,1,0,0,1,4
Angola,2008-01-01,0,0,1,0,0,1,4
Angola,2009-01-01,0,0,1,1,0,0,15
Angola,2009-01-01,0,0,1,0,1,0,4
Angola,2009-01-01,0,0,1,0,0,1,15
Angola,2009-01-01,0,0,1,0,0,1,15
Angola,2010-01-01,0,0,1,0,0,1,7
Angola,2010-01-01,0,0,1,0,0,1,4
Angola,2012-01-01,0,0,1,1,0,0,4
Angola,2012-01-01,0,0,1,0,1,0,4
Angola,2012-01-01,0,0,1,0,0,1,4
Angola,2013-01-01,0,0,1,1,0,0,4
Angola,2013-01-01,0,0,1,0,1,0,4
Angola,2014-01-01,0,0,1,1,0,0,4
Angola,2014-01-01,0,0,1,0,1,0,4
Angola,2014-01-01,0,0,1,0,0,1,34
Angola,2014-01-01,0,0,1,0,0,1,5
Angola,2015-01-01,0,0,1,1,0,0,4
Angola,2015-01-01,0,0,1,0,1,0,4
Angola,2017-01-01,1,0,0,1,0,0,5
Angola,2017-01-01,1,0,0,0,1,0,5
Angola,2017-01-01,0,1,0,1,0,0,12
Angola,2017-01-01,0,1,0,0,1,0,5
Angola,2017-01-01,0,0,1,1,0,0,17
Angola,2017-01-01,0,0,1,0,1,0,10
Angola,2017-01-01,0,0,1,0,0,1,27
Angola,2017-01-01,0,0,1,0,0,1,4
Angola,2017-01-01,0,0,1,0,0,1,23
Angola,2017-01-01,1,0,0,1,0,0,4
Angola,2017-01-01,1,0,0,0,1,0,4
Angola,2017-01-01,0,1,0,1,0,0,12
Angola,2017-01-01,0,1,0,0,1,0,5
Angola,2017-01-01,0,0,1,1,0,0,15
Angola,2017-01-01,0,0,1,0,1,0,9
Angola,2017-01-01,0,0,1,0,0,1,24
Angola,2017-01-01,1,0,0,1,0,0,4
Angola,2017-01-01,1,0,0,0,1,0,4
Angola,2017-01-01,0,1,0,1,0,0,4
Angola,2017-01-01,0,1,0,0,1,0,4
Angola,2017-01-01,0,0,1,1,0,0,4
Angola,2017-01-01,0,0,1,0,1,0,4
Angola,2017-01-01,0,0,1,0,0,1,4
Angola,2017-01-01,0,0,1,0,0,1,6
Angola,2017-01-01,1,0,0,1,0,0,4
Angola,2017-01-01,1,0,0,0,1,0,4
Angola,2017-01-01,0,1,0,1,0,0,4
Angola,2017-01-01,0,1,0,0,1,0,17
Angola,2017-01-01,0,0,1,0,1,0,4
Angola,2017-01-01,0,0,1,0,0,1,21
Angola,2017-01-01,1,0,0,1,0,0,4
Angola,2017-01-01,1,0,0,0,1,0,4
Angola,2017-01-01,0,1,0,1,0,0,4
Angola,2017-01-01,0,1,0,0,1,0,5
Angola,2017-01-01,0,0,1,0,1,0,12
Angola,2017-01-01,0,0,1,0,0,1,6
Angola,2017-01-01,0,0,1,0,0,1,4
Angola,2017-01-01,0,0,1,0,0,1,4
Angola,2017-01-01,0,0,1,0,0,1,6
