Country,Year,Gender_Female,Gender_Male,Gender_Total,Age_Under18,Age_Over18,Age_Total,VALUE
Armenia,2013-01-01,0,1,0,0,0,1,35
Switzerland,2013-01-01,0,1,0,0,0,1,28
Colombia,2013-01-01,0,1,0,0,0,1,15053
Czechia,2013-01-01,0,1,0,0,0,1,69
Germany,2013-01-01,0,1,0,0,0,1,455
Finland,2013-01-01,0,1,0,0,0,1,70
Guatemala,2013-01-01,0,1,0,0,0,1,2764
Honduras,2013-01-01,0,1,0,0,0,1,905
Hungary,2013-01-01,0,1,0,0,0,1,229
Iceland,2013-01-01,0,1,0,0,0,1,1
Italy,2013-01-01,0,1,0,0,0,1,864
Japan,2013-01-01,0,1,0,0,0,1,259
Sri Lanka,2013-01-01,0,1,0,0,0,1,809
Lithuania,2013-01-01,0,1,0,0,0,1,173
Mongolia,2013-01-01,0,1,0,0,0,1,207
Norway,2013-01-01,0,1,0,0,0,1,16
Serbia,2013-01-01,0,1,0,0,0,1,134
Slovakia,2013-01-01,0,1,0,0,0,1,53
Slovenia,2013-01-01,0,1,0,0,0,1,16
Türkiye,2013-01-01,0,1,0,0,0,1,9891
Armenia,2014-01-01,0,1,0,0,0,1,41
Switzerland,2014-01-01,0,1,0,0,0,1,26
Colombia,2014-01-01,0,1,0,0,0,1,16476
Czechia,2014-01-01,0,1,0,0,0,1,55
Germany,2014-01-01,0,1,0,0,0,1,489
Finland,2014-01-01,0,1,0,0,0,1,66
Guatemala,2014-01-01,0,1,0,0,0,1,2649
Honduras,2014-01-01,0,1,0,0,0,1,1319
Hungary,2014-01-01,0,1,0,0,0,1,204
Iceland,2014-01-01,0,1,0,0,0,1,1
Italy,2014-01-01,0,1,0,0,0,1,806
Japan,2014-01-01,0,1,0,0,0,1,243
Sri Lanka,2014-01-01,0,1,0,0,0,1,902
Lithuania,2014-01-01,0,1,0,0,0,1,174
Mongolia,2014-01-01,0,1,0,0,0,1,217
Norway,2014-01-01,0,1,0,0,0,1,18
Serbia,2014-01-01,0,1,0,0,0,1,117
Slovakia,2014-01-01,0,1,0,0,0,1,47
Slovenia,2014-01-01,0,1,0,0,0,1,23
Türkiye,2014-01-01,0,1,0,0,0,1,10389
Armenia,2015-01-01,0,1,0,0,0,1,47
Antigua and Barbuda,2015-01-01,0,1,0,0,0,1,3
Austria,2015-01-01,0,1,0,0,0,1,29
Belgium,2015-01-01,0,1,0,0,0,1,81
Belize,2015-01-01,0,1,0,0,0,1,55
Bolivia (Plurinational State of),2015-01-01,0,1,0,0,0,1,330
Bhutan,2015-01-01,0,1,0,0,0,1,21
Switzerland,2015-01-01,0,1,0,0,0,1,28
Colombia,2015-01-01,0,1,0,0,0,1,15819
Czechia,2015-01-01,0,1,0,0,0,1,66
Germany,2015-01-01,0,1,0,0,0,1,445
Denmark,2015-01-01,0,1,0,0,0,1,45
Finland,2015-01-01,0,1,0,0,0,1,65
France,2015-01-01,0,1,0,0,0,1,549
Greece,2015-01-01,0,1,0,0,0,1,60
Guatemala,2015-01-01,0,1,0,0,0,1,2415
Honduras,2015-01-01,0,1,0,0,0,1,1879
Iceland,2015-01-01,0,1,0,0,0,1,2
Italy,2015-01-01,0,1,0,0,0,1,757
Japan,2015-01-01,0,1,0,0,0,1,217
Sri Lanka,2015-01-01,0,1,0,0,0,1,855
Lithuania,2015-01-01,0,1,0,0,0,1,131
"China, Macao Special Administrative Region",2015-01-01,0,1,0,0,0,1,1
Mongolia,2015-01-01,0,1,0,0,0,1,208
Norway,2015-01-01,0,1,0,0,0,1,21
Russian Federation,2015-01-01,0,1,0,0,0,1,13528
Serbia,2015-01-01,0,1,0,0,0,1,93
Slovakia,2015-01-01,0,1,0,0,0,1,41
Slovenia,2015-01-01,0,1,0,0,0,1,12
Türkiye,2015-01-01,0,1,0,0,0,1,4798
Uzbekistan,2015-01-01,0,1,0,0,0,1,659
Albania,2016-01-01,0,1,0,0,0,1,78
Armenia,2016-01-01,0,1,0,0,0,1,58
Antigua and Barbuda,2016-01-01,0,1,0,0,0,1,8
Austria,2016-01-01,0,1,0,0,0,1,28
