Id,Country,Year,VALUE,Demographic,Probability,Baseline,YoY_Pct_Change,Yearly_Trend,Rolling_Slope,Rolling_Trend,Cumulative_Growth
1,Albania,2023,62.179344,AllGenders_AllAges,38.17413905133203,62.179344,,First Year,,,0.0
10,Albania,2024,62.335835,AllGenders_AllAges,39.71637426900585,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
19,Albania,2025,62.094128,AllGenders_AllAges,41.289148797920724,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
28,Albania,2026,60.939846,AllGenders_AllAges,42.89246263807667,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
37,Albania,2027,58.81632,AllGenders_AllAges,44.526315789473685,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
46,Albania,2028,57.089844,AllGenders_AllAges,46.19070825211177,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
55,Albania,2029,55.17139,AllGenders_AllAges,47.8856400259909,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
2,Albania,2023,62.179344,AllGenders_Over18,9.724359632023527,62.179344,,First Year,,,0.0
11,Albania,2024,62.335835,AllGenders_Over18,10.117223761157277,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
20,Albania,2025,62.094128,AllGenders_Over18,10.517867377996646,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
29,Albania,2026,60.939846,AllGenders_Over18,10.926290482541635,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
38,Albania,2027,58.81632,AllGenders_Over18,11.342493074792245,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
47,Albania,2028,57.089844,AllGenders_Over18,11.76647515474847,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
56,Albania,2029,55.17139,AllGenders_Over18,12.198236722410313,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
