Id,Country,Year,Demographic,Gender,Age,Probability,VALUE,YoY_Change,YoY_Pct_Change,Yearly_Trend,Rolling_Slope,Rolling_Trend,Baseline,Cumulative_Growth,Growth_Stage
1,Albania,2023,AllGenders_AllAges,AllGenders,AllAges,38.17413905133203,62.179344,,,First Year,,,62.179344,0.0,Below baseline
10,Albania,2024,AllGenders_AllAges,AllGenders,AllAges,39.71637426900585,62.335835,0.1564910000000026,0.25167682695399485,Stable,-0.04260800000000131,Stable,62.179344,0.25167682695398425,Above baseline
19,Albania,2025,AllGenders_AllAges,AllGenders,AllAges,41.289148797920724,62.094128,-0.24170700000000522,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,62.179344,-0.13704872795055964,Below baseline
28,Albania,2026,AllGenders_AllAges,AllGenders,AllAges,42.89246263807667,60.939846,-1.154281999999995,-1.8589229564508813,Declining,-1.638904,Sharp decline,62.179344,-1.9934240541360448,Below baseline
37,Albania,2027,AllGenders_AllAges,AllGenders,AllAges,44.526315789473685,58.81632,-2.1235260000000054,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,62.179344,-5.408587134660029,Below baseline
46,Albania,2028,AllGenders_AllAges,AllGenders,AllAges,46.19070825211177,57.089844,-1.7264759999999981,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,62.179344,-8.185194105618098,Below baseline
55,Albania,2029,AllGenders_AllAges,AllGenders,AllAges,47.8856400259909,55.17139,-1.918453999999997,-3.3604120550758454,Declining,,,62.179344,-11.2705499112374,Below baseline
2,Albania,2023,AllGenders_Over18,AllGenders,Over18,9.724359632023527,62.179344,,,First Year,,,62.179344,0.0,Below baseline
11,Albania,2024,AllGenders_Over18,AllGenders,Over18,10.117223761157277,62.335835,0.1564910000000026,0.25167682695399485,Stable,-0.04260800000000131,Stable,62.179344,0.25167682695398425,Above baseline
20,Albania,2025,AllGenders_Over18,AllGenders,Over18,10.517867377996646,62.094128,-0.24170700000000522,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,62.179344,-0.13704872795055964,Below baseline
29,Albania,2026,AllGenders_Over18,AllGenders,Over18,10.926290482541635,60.939846,-1.154281999999995,-1.8589229564508813,Declining,-1.638904,Sharp decline,62.179344,-1.9934240541360448,Below baseline
38,Albania,2027,AllGenders_Over18,AllGenders,Over18,11.342493074792245,58.81632,-2.1235260000000054,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,62.179344,-5.408587134660029,Below baseline
47,Albania,2028,AllGenders_Over18,AllGenders,Over18,11.76647515474847,57.089844,-1.7264759999999981,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,62.179344,-8.185194105618098,Below baseline
56,Albania,2029,AllGenders_Over18,AllGenders,Over18,12.198236722410313,55.17139,-1.918453999999997,-3.3604120550758454,Declining,,,62.179344,-11.2705499112374,Below baseline
3,Albania,2023,AllGenders_Under18,AllGenders,Under18,7.0722615505625654,62.179344,,,First Year,,,62.179344,0.0,Below baseline
12,Albania,2024,AllGenders_Under18,AllGenders,Under18,7.357980917205288,62.335835,0.1564910000000026,0.25167682695399485,Stable,-0.04260800000000131,Stable,62.179344,0.25167682695398425,Above baseline
21,Albania,2025,AllGenders_Under18,AllGenders,Under18,7.649358093088467,62.094128,-0.24170700000000522,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,62.179344,-0.13704872795055964,Below baseline
30,Albania,2026,AllGenders_Under18,AllGenders,Under18,7.946393078212095,60.939846,-1.154281999999995,-1.8589229564508813,Declining,-1.638904,Sharp decline,62.179344,-1.9934240541360448,Below baseline
39,Albania,2027,AllGenders_Under18,AllGenders,Under18,8.249085872576176,58.81632,-2.1235260000000054,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,62.179344,-5.408587134660029,Below baseline
48,Albania,2028,AllGenders_Under18,AllGenders,Under18,8.557436476180705,57.089844,-1.7264759999999981,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,62.179344,-8.185194105618098,Below baseline
57,Albania,2029,AllGenders_Under18,AllGenders,Under18,8.871444889025684,55.17139,-1.918453999999997,-3.3604120550758454,Declining,,,62.179344,-11.2705499112374,Below baseline
4,Albania,2023,Female_AllAges,Female,AllAges,15.025990903183883,62.179344,,,First Year,,,62.179344,0.0,Below baseline
